DATE,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015/02/16,50ETF购2015年6月2.35,认购,2.35,2015/06/24 00:00,0.1654
2015/02/16,50ETF购2015年6月2.40,认购,2.4,2015/06/24 00:00,0.139
2015/02/16,50ETF沽2015年6月2.20,认沽,2.2,2015/06/24 00:00,0.0485
2015/02/16,50ETF沽2015年6月2.25,认沽,2.25,2015/06/24 00:00,0.0634
2015/02/16,50ETF沽2015年6月2.30,认沽,2.3,2015/06/24 00:00,0.0804
2015/02/16,50ETF沽2015年6月2.35,认沽,2.35,2015/06/24 00:00,0.1007
2015/02/16,50ETF沽2015年6月2.40,认沽,2.4,2015/06/24 00:00,0.1237
2015/02/16,50ETF购2015年9月2.20,认购,2.2,2015/09/23 00:00,0.312
2015/02/16,50ETF购2015年9月2.35,认购,2.35,2015/09/23 00:00,0.2179
2015/02/16,50ETF购2015年9月2.40,认购,2.4,2015/09/23 00:00,0.1915
2015/02/16,50ETF沽2015年9月2.20,认沽,2.2,2015/09/23 00:00,0.0823
2015/02/16,50ETF沽2015年9月2.25,认沽,2.25,2015/09/23 00:00,0.0998
2015/02/16,50ETF沽2015年9月2.30,认沽,2.3,2015/09/23 00:00,0.1152
2015/02/16,50ETF沽2015年9月2.35,认沽,2.35,2015/09/23 00:00,0.1392
2015/02/16,50ETF沽2015年9月2.40,认沽,2.4,2015/09/23 00:00,0.165
2015/02/16,50ETF购2015年3月2.45,认购,2.45,2015/03/25 00:00,0.0453
2015/02/16,50ETF沽2015年3月2.45,认沽,2.45,2015/03/25 00:00,0.0973
2015/02/16,50ETF购2015年4月2.45,认购,2.45,2015/04/22 00:00,0.075
2015/02/16,50ETF沽2015年4月2.45,认沽,2.45,2015/04/22 00:00,0.1209
2015/02/16,50ETF购2015年6月2.45,认购,2.45,2015/06/24 00:00,0.1166
2015/02/16,50ETF沽2015年6月2.45,认沽,2.45,2015/06/24 00:00,0.1529
2015/02/16,50ETF购2015年9月2.45,认购,2.45,2015/09/23 00:00,0.1678
2015/02/16,50ETF沽2015年9月2.45,认沽,2.45,2015/09/23 00:00,0.1892
2015/02/16,50ETF购2015年3月2.50,认购,2.5,2015/03/25 00:00,0.0304
2015/02/16,50ETF沽2015年3月2.50,认沽,2.5,2015/03/25 00:00,0.1284
2015/02/16,50ETF购2015年4月2.50,认购,2.5,2015/04/22 00:00,0.0565
2015/02/16,50ETF沽2015年4月2.50,认沽,2.5,2015/04/22 00:00,0.1456
2015/02/16,50ETF购2015年6月2.50,认购,2.5,2015/06/24 00:00,0.0979
2015/02/16,50ETF沽2015年6月2.50,认沽,2.5,2015/06/24 00:00,0.1837
2015/02/16,50ETF购2015年9月2.50,认购,2.5,2015/09/23 00:00,0.1514
2015/02/16,50ETF沽2015年9月2.50,认沽,2.5,2015/09/23 00:00,0.2196
2015/02/16,50ETF购2015年3月2.40,认购,2.4,2015/03/25 00:00,0.0663
2015/02/17,50ETF购2015年3月2.20,认购,2.2,2015/03/25 00:00,0.2296
2015/02/17,50ETF购2015年3月2.25,认购,2.25,2015/03/25 00:00,0.183
